channel_id,all_comment_count,eng_comment_count
UCEP0Zgg1BuAExe6x6fPSPqQ,26,25
UCERpfFL1aRqsrJhmKkGAEPA,84,67
UCET00YnetHT7tOpu12v8jxg,19,12
UCEVZNpzM9oDegvplv5Z36Sw,37,31
UCEWhQG9S3mIe0VTYUcqhzgA,13,8
UCEWpbFLzoYGPfuWUMFPSaoA,146,123
UCEYlNI8wno2Xp7YUNdMN22A,18,14
UCE_0zvmu1pMYZAgqyjW6qsQ,26,19
UCE_BYUUN0I04cAmk1c40sTg,20,19
UCEakj6jI7jTklY8uOA4Tpig,51,48
